Subject	BrainSeg	BrainSegNotVent	BrainSegNotVentSurf	VentricleChoroidVol	lhCortex	rhCortex	Cortex	lhCerebralWhiteMatter	rhCerebralWhiteMatter	CerebralWhiteMatter	SubCortGray	TotalGray	SupraTentorial	SupraTentorialNotVent	SupraTentorialNotVentVox	Mask	BrainSegVol-to-eTIV	MaskVol-to-eTIV	lhSurfaceHoles	rhSurfaceHoles	SurfaceHoles	EstimatedTotalIntraCranialVol	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus-Proper	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus-Proper	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior
sub-0026106_ses-1_run-1	1196856.000000	1179561.000000	1179355.321402	12990.000000	261621.421212	262374.009678	523995.430890	230960.762961	230797.127550	461757.890512	61303.000000	692068.430890	1061674.321402	1048684.321402	1047158.000000	1591970.000000	0.780377	1.038000	21	13	34	1533689.680175	6192.9	474.9	13236.0	53404.4	7099.1	4032.2	6299.2	2057.5	979.5	2682.1	20018.9	4156.0	2064.7	919.1	679.3	3784.4	48.0	397.2	5405.6	588.5	13374.6	53674.7	6612.1	4142.7	6359.6	1770.0	4398.6	1751.3	655.6	3946.1	45.9	640.9	0.0	1538.5	0.0	0.0	0.0	0.0	0.0	238.2	629.5	362.1	388.8	374.2	762.3
sub-0026107_ses-1_run-1	1134818.000000	1117699.000000	1117848.687242	14065.000000	262224.166418	258751.028470	520975.194888	208568.917440	205969.574914	414538.492354	56502.000000	680236.194888	1009466.687242	995401.687242	991749.000000	1478798.000000	0.817312	1.065052	35	26	61	1388475.426792	6868.2	587.8	11638.4	50203.3	7100.1	3510.6	5174.9	1674.6	893.4	1545.3	17013.1	4058.6	1699.8	862.4	623.6	3451.7	44.8	623.5	5602.3	272.0	12193.6	50787.2	7062.1	3732.8	5073.5	1435.8	4352.1	1832.4	583.5	3399.8	24.7	853.0	0.0	1171.6	0.0	0.0	0.0	0.0	0.0	178.3	1072.7	480.4	704.7	595.9	799.6
sub-0026108_ses-1_run-1	1154707.000000	1140225.000000	1140038.002813	11516.000000	241275.315724	240740.087712	482015.403435	227319.371837	224284.227540	451603.599377	59998.000000	658883.403435	1007601.002813	996085.002813	993727.000000	1607514.000000	0.777760	1.082751	35	17	52	1484656.761726	5445.8	282.3	15445.2	57877.6	7099.2	3710.7	5763.8	2111.1	713.0	1647.7	19470.8	3880.3	1899.6	960.5	674.5	3935.5	37.8	352.4	5351.9	302.0	14849.6	58480.5	7128.2	4057.8	5819.7	1901.6	4148.9	1749.7	605.2	3667.3	29.9	509.1	0.0	1638.9	0.0	0.0	0.0	0.0	0.0	205.4	810.2	527.6	541.4	528.0	883.0
sub-0026109_ses-1_run-1	1102552.000000	1085162.000000	1084968.199482	14584.000000	239432.007032	237695.689629	477127.696661	211935.901313	209580.601507	421516.502821	57859.000000	636652.696661	973494.199482	958910.199482	956587.000000	1446925.000000	0.925098	1.214045	22	21	43	1191821.493197	8595.3	439.9	13847.8	51328.3	6827.6	3387.1	5698.8	2018.7	837.4	1474.4	18241.5	3731.2	1753.9	812.7	496.5	3834.1	48.2	474.3	4869.6	255.9	13451.5	50113.1	7142.7	3489.6	5729.8	1776.0	3985.1	1707.9	559.5	3901.6	22.9	574.1	0.0	1484.0	0.0	0.0	0.0	0.0	0.0	162.4	891.2	595.1	606.5	489.8	907.4
sub-0026110_ses-1_run-1	1082986.000000	1072894.000000	1072854.578175	6903.000000	239589.137037	243412.417860	483001.554897	201741.823793	201742.199485	403484.023278	56343.000000	645768.554897	951629.578175	944726.578175	942797.000000	3713570.000000	0.811710	2.783361	19	18	37	1334203.451091	3281.4	380.4	12417.0	52628.2	6547.7	3554.6	5481.8	2041.8	814.8	1855.8	20089.7	3980.9	1590.3	757.5	577.8	3683.3	32.5	352.4	2765.9	358.7	12133.8	53406.5	6666.3	3666.3	5506.9	1707.5	3932.9	1626.0	593.8	3761.1	17.7	392.1	0.0	1135.4	0.0	0.0	0.0	0.0	0.0	133.5	767.2	385.1	708.1	610.9	667.9
sub-0026111_ses-1_run-1	1086116.000000	1070331.000000	1070224.218046	12281.000000	230305.602765	230842.611451	461148.214216	211705.038098	210819.965731	422525.003830	58156.000000	620390.214216	955675.218046	943394.218046	941856.000000	1440055.000000	0.798813	1.059127	32	19	51	1359662.028970	7131.3	118.6	14065.6	50580.5	7148.4	3799.9	5447.9	2104.8	906.7	2027.0	20410.3	3653.6	1559.2	880.2	701.1	3785.9	71.5	332.8	4245.7	504.8	14311.0	50340.3	7105.4	3704.8	5435.0	1728.2	3795.4	1606.4	819.2	3889.5	42.7	535.0	0.0	1342.0	0.0	0.0	0.0	0.0	0.0	182.3	866.8	519.8	508.2	467.8	769.2
sub-0026112_ses-1_run-1	1148539.000000	1138641.000000	1138857.886904	6612.000000	260948.441366	258429.821733	519378.263099	212822.331926	211930.291879	424752.623806	61625.000000	687043.263099	1013948.886904	1007336.886904	1005442.000000	1510683.000000	0.809249	1.064412	20	18	38	1419265.549918	2925.6	250.2	14220.1	53042.6	7430.8	4025.3	5640.5	2133.2	898.7	1911.7	21248.4	4155.1	1723.3	764.4	726.6	4468.2	33.1	440.8	2869.3	213.2	13834.6	53051.8	7563.6	4416.9	5620.8	1863.5	4079.1	1469.5	749.4	4218.9	21.5	629.6	0.0	1244.9	0.0	0.0	0.0	0.0	0.0	151.3	792.2	405.3	634.5	430.0	797.2
sub-0026113_ses-1_run-1	1168946.000000	1146243.000000	1146141.516027	18261.000000	255415.155369	251421.609148	506836.764517	220852.518396	220244.233115	441096.751510	58185.000000	681702.764517	1026835.516027	1008574.516027	1006155.000000	1569594.000000	0.806861	1.083407	14	13	27	1448757.619740	10132.1	493.5	12106.8	58489.2	7341.1	4063.9	4951.7	1820.8	1190.5	2199.8	17044.8	3852.2	1797.9	1300.3	665.3	3954.8	30.4	410.6	7064.7	452.6	12395.8	57823.1	7534.3	4077.5	5058.7	1639.0	3813.5	1564.9	678.5	3733.1	27.3	574.0	0.0	1405.3	0.0	0.0	0.0	0.0	0.0	169.6	951.5	534.0	669.9	789.2	717.3
sub-0026114_ses-1_run-1	1133275.000000	1115479.000000	1115533.262682	14519.000000	255448.954055	253501.278299	508950.232354	212145.591561	214066.438767	426212.030328	57948.000000	666413.232354	1009945.262682	995426.262682	992954.000000	1499536.000000	0.769361	1.018009	24	21	45	1473008.192945	5927.0	487.5	12135.9	48488.7	6654.3	3624.9	5610.2	1953.9	1140.9	1415.2	18016.1	4339.2	1878.3	965.7	662.3	3781.3	32.6	613.0	7235.7	264.4	11522.2	50588.9	6362.5	3819.0	5536.0	1545.7	4006.9	2029.9	570.0	3680.3	22.9	578.4	0.0	1134.6	0.0	0.0	0.0	0.0	0.0	179.6	858.8	563.0	473.6	523.4	718.1
sub-0026115_ses-1_run-1	1342801.000000	1313715.000000	1313672.017127	24877.000000	310410.769974	311078.559277	621489.329251	240179.397510	243719.290366	483898.687876	65428.000000	801151.329251	1198568.017127	1173691.017127	1170770.000000	1715027.000000	0.844628	1.078760	26	31	57	1589812.680372	11397.9	681.8	14764.1	54846.6	7980.5	4315.4	5967.8	2319.1	1147.6	2171.1	21100.5	4175.1	2074.9	1200.1	674.1	4156.6	54.5	662.8	10985.2	765.2	14663.6	58533.6	8193.4	4309.0	5871.7	1839.7	4417.9	2214.9	714.7	4224.5	34.5	871.8	0.0	1295.6	0.0	0.0	0.0	0.0	0.0	278.7	730.2	429.2	391.0	467.2	1016.2
sub-0026116_ses-1_run-1	1121486.000000	1104325.000000	1104172.697206	14171.000000	237102.403827	230996.018097	468098.421924	224049.715092	220715.560190	444765.275282	56204.000000	631055.421924	985276.697206	971105.697206	969142.000000	1552015.000000	0.994384	1.376119	13	18	31	1127820.393473	7912.6	348.7	14764.0	52768.2	6510.9	3251.6	5264.4	1985.4	954.5	1521.2	21461.5	4134.0	1610.8	816.1	549.8	3931.2	33.3	577.1	5116.1	338.2	14655.0	53995.7	6640.6	3341.0	5339.4	1846.8	4120.2	1483.1	545.4	3974.8	19.6	592.6	0.0	1340.1	0.0	0.0	0.0	0.0	0.0	245.4	844.4	498.6	371.6	418.7	775.6
sub-0026117_ses-1_run-1	1060629.000000	1043824.000000	1043394.468309	12655.000000	225796.580798	226379.506169	452176.086967	210715.784534	211728.596808	422444.381342	57630.000000	596214.086967	946692.468309	934037.468309	932552.000000	1446363.000000	0.807631	1.101354	14	7	21	1313258.949933	7189.8	514.5	13240.0	42994.1	6939.6	3824.7	5628.9	2283.1	859.7	2138.6	19425.1	3533.4	1447.4	1386.7	617.5	3735.4	39.9	367.7	4651.2	344.6	12768.3	42684.3	6772.7	3790.1	5923.6	1881.0	3517.3	1346.3	598.1	3923.6	32.3	453.8	0.0	1164.2	0.0	0.0	0.0	0.0	0.0	198.5	1086.0	442.5	647.4	679.9	989.1
sub-0026118_ses-1_run-1	1145058.000000	1125280.000000	1124789.618412	16290.000000	239203.733096	234634.715671	473838.448767	219754.635500	217646.534145	437401.169645	61448.000000	654050.448767	991046.618412	974756.618412	973118.000000	1526085.000000	0.803522	1.070901	16	10	26	1425048.126977	8313.3	537.3	17443.7	59226.6	7663.4	3601.0	5437.1	2099.8	873.8	1936.9	20992.3	4503.1	1455.4	1019.7	560.6	4371.2	46.2	619.5	5898.4	683.1	16831.4	59405.3	7224.5	3740.3	5603.6	2023.1	4486.8	1604.4	573.3	4481.5	124.4	917.9	0.0	1216.1	0.0	0.0	0.0	0.0	0.0	257.3	864.0	413.4	395.1	515.4	865.1
sub-0026119_ses-1_run-1	1107004.000000	1096182.000000	1096374.426106	8454.000000	240359.131729	232557.375101	472916.506831	222137.459183	218154.460093	440291.919276	56551.000000	630790.506831	980029.426106	971575.426106	969549.000000	1481019.000000	0.792231	1.059896	13	17	30	1397324.526290	3687.0	195.7	13044.5	51479.3	6985.0	3470.4	5606.9	1792.2	717.9	1415.7	19076.0	3904.2	1521.4	550.5	541.3	3545.4	44.3	313.0	4048.4	468.7	13243.8	49724.0	6553.3	3674.6	5804.0	1622.7	3989.9	1617.2	643.3	3670.5	104.2	431.1	0.0	1424.3	0.0	0.0	0.0	0.0	0.0	182.6	870.8	465.4	594.8	512.2	746.3
sub-0026120_ses-1_run-1	935299.000000	918018.000000	917754.317124	14459.000000	189577.791875	187162.653047	376740.444923	191078.649421	192039.222781	383117.872202	48417.000000	512411.444923	825378.317124	810919.317124	808501.000000	1342317.000000	0.733927	1.053313	6	10	16	1274376.448924	5895.9	222.5	11894.2	43004.1	6043.9	2713.7	4179.0	1800.6	827.4	1346.9	16805.0	3687.6	1321.2	806.8	521.3	3498.8	86.7	551.7	7531.4	80.4	11218.0	42902.0	5777.2	2936.9	3762.8	1674.8	3672.0	1417.2	448.5	3519.3	17.1	568.5	0.0	474.1	0.0	0.0	0.0	0.0	0.0	155.1	792.9	483.1	425.7	401.9	810.9
sub-0026120_ses-2_run-1	936496.000000	919538.000000	919298.076901	14111.000000	186583.440029	187006.836946	373590.276975	193263.529215	195882.270712	389145.799926	47983.000000	507927.276975	827450.076901	813339.076901	810857.000000	1343995.000000	0.733526	1.052706	6	8	14	1276705.262317	5739.2	266.2	12156.3	42734.2	6219.4	2696.7	4031.8	1764.9	836.8	1334.7	17202.0	3614.1	1372.3	799.7	451.7	3343.4	61.5	438.3	7463.8	87.0	10987.5	42296.4	5859.4	2937.1	3757.6	1572.6	3649.4	1495.7	387.7	3436.4	28.0	514.6	0.0	507.9	0.0	0.0	0.0	0.0	0.0	172.3	822.9	494.7	442.4	395.7	827.7
